tags,genre,year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
"rock, alternative, metal, alternative_rock, hard_rock, 90s",Rock,1996,229466,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367,4
"rock, alternative, alternative_rock, 90s, funk",Rock,2014,284266,0.683,0.989,9,-2.092,0,0.0616,0.00579,0.00108,0.0964,0.781,91.558,4
"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british",Rock,2001,220480,0.406,0.953,2,-5.74,1,0.0473,6.48e-06,0.000407,0.0911,0.307,136.007,4
"rock, alternative, indie, alternative_rock, indie_rock, beautiful, 00s",Rock,2004,310893,0.404,0.938,8,-5.637,1,0.0357,0.00878,0.503,0.336,0.757,127.162,4
"rock, alternative, alternative_rock, punk, punk_rock, american",Rock,2017,232680,0.552,0.89,8,-3.409,1,0.0342,0.000143,0.0,0.888,0.716,146.525,4
"rock, alternative, metal, alternative_rock, cover, nu_metal",Rock,2005,269386,0.586,0.502,7,-6.114,1,0.0272,0.417,0.0,0.0971,0.101,120.297,4
"rock, alternative, indie, alternative_rock, indie_rock, british, britpop",Rock,2010,213893,0.509,0.754,7,-5.014,1,0.128,0.0517,0.0,0.12,0.528,154.671,4
"rock, metal, hard_rock, heavy_metal, thrash_metal, 90s",Metal,1991,386493,0.54,0.584,7,-9.579,1,0.0254,0.0108,0.00296,0.253,0.244,139.261,4
"rock, alternative, indie, alternative_rock, indie_rock, british, britpop",Rock,2007,165000,0.637,0.963,9,-5.116,1,0.0882,0.000286,0.000889,0.0449,0.823,150.1,4
"rock, alternative, alternative_rock, hard_rock, 90s, grunge",Rock,1997,231160,0.405,0.962,4,-4.81,1,0.0766,2.99e-05,5.11e-05,0.124,0.703,174.098,4
"rock, alternative, indie, pop, alternative_rock, indie_rock, british, piano, britpop, mellow",Rock,2004,214413,0.505,0.841,0,-3.526,1,0.0311,0.00135,0.000322,0.119,0.441,94.01,4
